TRANSACTION_ID,PORTFOLIO_ID,TIMESTAMP,TICKER,TRANSACTION_TYPE,QUANTITY,PRICE,TOTAL_AMOUNT,CURRENCY
TXN_D2F9784CC8BE4A61,PF_2748ED7FE7,2021-02-13 06:37:43.943,WFC,Buy,1008.3537000000000000,295.19,297655.93,USD
TXN_198B27DC055B43BA,PF_2748ED7FE7,2021-02-13 06:55:12.865,TLT,Buy,72.9964000000000000,418.30,30534.39,USD
TXN_A24931F0FE4849A8,PF_2748ED7FE7,2021-02-13 07:42:04.394,SPY,Buy,747.8557000000000000,210.26,157244.14,USD
TXN_99619E8C53A04A71,PF_2748ED7FE7,2021-02-13 07:59:24.845,SLV,Buy,132.4974000000000000,247.20,32753.36,USD
TXN_B9211B51135E4AC8,PF_2748ED7FE7,2021-02-13 11:29:16.490,CVX,Buy,612.6837000000000000,260.22,159432.55,USD
TXN_D9D606BEE1FB4EC0,PF_2748ED7FE7,2021-02-13 11:56:51.412,IEF,Buy,75.6959000000000000,427.03,32324.42,USD
TXN_483AB2701F394DB2,PF_2748ED7FE7,2021-02-13 12:23:54.822,SLB,Buy,1323.3502000000000000,121.29,160509.15,USD
TXN_D786C0C7F5174316,PF_2748ED7FE7,2021-02-13 14:19:35.370,XLK,Buy,472.3465000000000000,337.92,159615.33,USD
TXN_60EE4EB162E049CE,PF_2748ED7FE7,2021-02-13 15:28:51.238,EOG,Buy,351.9211000000000000,458.87,161486.04,USD
TXN_71EC508BF0574F00,PF_2748ED7FE7,2021-02-13 17:40:28.445,PFE,Buy,1482.4724000000000000,228.71,339056.26,USD
TXN_7F6818C8FC1E4FB5,PF_2748ED7FE7,2021-02-13 18:47:55.128,GS,Buy,661.2383000000000000,513.11,339287.98,USD
TXN_25843BF6DAF24022,PF_2748ED7FE7,2021-02-13 21:29:42.520,GLD,Buy,101.3591000000000000,299.64,30371.24,USD
TXN_31FFDCC6F25B46DB,PF_2748ED7FE7,2021-02-13 22:19:41.193,BND,Buy,437.2454000000000000,370.06,161807.03,USD
TXN_87F335A71A0341E5,PF_2748ED7FE7,2021-02-13 23:13:43.687,XLE,Buy,374.3268000000000000,419.47,157018.86,USD
TXN_1F02352D85E14E69,PF_2748ED7FE7,2021-02-24 09:46:09.383,SLB,Buy,103.9231824516230000,122.64,12745.14,USD
TXN_500A1F416D7244BA,PF_2748ED7FE7,2021-03-04 12:46:52.847,CASH,Withdrawal,12717.0799999999800000,1.00,12717.08,USD
TXN_FAD73D4F1F454EF7,PF_2748ED7FE7,2021-04-29 14:26:57.271,CASH,Deposit,3904.5582947267200000,1.00,3904.56,USD
TXN_42A82CED6A744017,PF_2748ED7FE7,2021-05-30 12:28:31.480,CASH,Withdrawal,16523.1200000000000000,1.00,16523.12,USD
TXN_FEE63FB1B195418F,PF_2748ED7FE7,2021-06-13 21:45:48.469,SLB,Buy,135.7915579347374000,122.44,16626.32,USD
TXN_D06079400CAB4244,PF_2748ED7FE7,2021-07-15 21:14:56.657,CASH,Withdrawal,16785.8299999999900000,1.00,16785.83,USD
TXN_5E10F8859F9F4345,PF_2748ED7FE7,2021-08-05 10:24:02.385,CVX,Buy,62.6337003650032000,288.55,18072.95,USD
TXN_2D3EF782E73C4F5A,PF_A84474655A,2021-08-05 12:30:16.019,PG,Buy,10676.6335000000000000,23.40,249833.22,USD
TXN_A8B59317AC414A1B,PF_A84474655A,2021-08-05 13:57:15.734,GLD,Buy,132.8354000000000000,419.69,55749.69,USD
TXN_86FA62CB5CBC4759,PF_A84474655A,2021-08-05 18:04:36.177,WMT,Buy,703.2777000000000000,324.43,228164.38,USD
TXN_0D556E35F1A14D6D,PF_A84474655A,2021-08-05 18:47:28.264,XLE,Buy,1949.8303000000000000,151.36,295126.31,USD
TXN_D8D8C1D9F4884345,PF_A84474655A,2021-08-05 21:18:37.844,GOOGL,Buy,842.1022000000000000,278.88,234845.46,USD
TXN_8A7702286A264253,PF_A84474655A,2021-08-05 22:39:28.787,SLV,Buy,384.1485000000000000,148.52,57053.74,USD
TXN_C0A266D80CC54C63,PF_A84474655A,2021-08-05 23:54:42.766,JPM,Buy,954.6877000000000000,237.23,226480.56,USD
TXN_AF8975F4A2B74557,PF_A84474655A,2021-08-06 00:04:07.999,GS,Buy,474.8891000000000000,479.24,227585.85,USD
TXN_C777969CCE7B418E,PF_A84474655A,2021-08-06 01:12:09.148,LMT,Buy,481.8055000000000000,476.64,229647.77,USD
TXN_4B65E84380554802,PF_A84474655A,2021-08-06 01:36:10.880,MS,Buy,1438.9826000000000000,155.64,223963.25,USD
TXN_6F194EB3A30B40DF,PF_A84474655A,2021-08-06 07:44:05.677,RTX,Buy,7234.2821000000000000,34.11,246761.36,USD
TXN_EDA29EAB5595433D,PF_A84474655A,2021-08-06 08:07:46.535,QQQ,Buy,1039.9793000000000000,278.32,289447.04,USD
TXN_BB71D7A01FC9437C,PF_A84474655A,2021-08-06 09:38:56.941,AGG,Buy,612.3754000000000000,491.41,300927.40,USD
TXN_4A89C1F963CA42A9,PF_A84474655A,2021-08-06 10:06:44.904,IEF,Buy,120.7904000000000000,483.13,58357.47,USD
TXN_82BB8B355C4D4C81,PF_A84474655A,2021-08-06 10:06:52.049,EOG,Buy,969.8672000000000000,304.37,295198.48,USD
TXN_3DA18C7E3EB34BEE,PF_B519AFAF06,2021-10-12 22:49:06.134,COP,Buy,324.4326000000000000,154.26,50046.97,USD
TXN_87C505E9C5164FB5,PF_B519AFAF06,2021-10-12 23:11:47.712,AGG,Buy,203.3968000000000000,240.55,48927.10,USD
TXN_00A890782DFF46EC,PF_B519AFAF06,2021-10-13 00:09:00.684,GLD,Buy,473.6571000000000000,50.10,23730.22,USD
TXN_73D57A8A87D04E36,PF_B519AFAF06,2021-10-13 01:36:23.738,SLV,Buy,157.5353000000000000,161.54,25448.25,USD
TXN_F00A940B29F64B8C,PF_B519AFAF06,2021-10-13 02:24:24.100,IEF,Buy,65.1004000000000000,384.17,25009.62,USD
TXN_E191CF855EEB477D,PF_B519AFAF06,2021-10-13 04:32:14.871,NKE,Buy,2810.4158000000000000,172.25,484094.12,USD
TXN_0ECA8A3CC55446BA,PF_B519AFAF06,2021-10-13 04:41:51.604,SPY,Buy,183.0198000000000000,272.39,49852.76,USD
TXN_60B356BF1F124993,PF_B519AFAF06,2021-10-13 05:12:19.788,SLB,Buy,121.5882000000000000,401.74,48846.84,USD
TXN_F7440A19810F4DBB,PF_B519AFAF06,2021-10-13 06:38:19.985,BND,Buy,196.6911000000000000,254.94,50144.43,USD
TXN_076DE1C091494881,PF_B519AFAF06,2021-10-13 11:47:10.844,XLF,Buy,103.5335000000000000,461.91,47823.16,USD
TXN_92BB134DB9804A08,PF_B519AFAF06,2021-10-13 11:52:50.232,TLT,Buy,136.9626000000000000,179.31,24558.76,USD
TXN_17B7FC38675D4813,PF_B519AFAF06,2021-10-13 12:40:25.831,ABBV,Buy,1527.5032000000000000,310.71,474610.52,USD
TXN_A83484B8D36A4786,PF_B519AFAF06,2021-10-13 13:26:06.546,IVV,Buy,342.5743000000000000,145.20,49741.79,USD
TXN_1F12AF7901F74302,PF_B519AFAF06,2021-10-13 16:29:43.783,TMO,Buy,1058.1551000000000000,463.72,490687.68,USD
TXN_E956088C72C54B30,PF_B519AFAF06,2021-10-13 20:26:15.397,XLE,Buy,477.7357000000000000,104.71,50023.71,USD
TXN_228F7E5758134F67,PF_A84474655A,2021-10-15 06:58:37.521,CASH,Withdrawal,16702.1300000000100000,1.00,16702.13,USD
TXN_B18912D11EC84D09,PF_A84474655A,2021-10-25 23:41:49.318,GOOGL,Buy,52.8397828534386000,264.11,13955.52,USD
TXN_6CCBD5B274664EEF,PF_CDA42A9973,2021-12-11 19:51:20.457,QQQ,Buy,660.8656000000000000,180.36,119193.72,USD
TXN_01B785C150424549,PF_CDA42A9973,2021-12-11 20:07:46.529,TLT,Buy,89.8181000000000000,450.71,40481.92,USD
TXN_CA50BA1C3FD144AD,PF_CDA42A9973,2021-12-11 20:29:40.363,AGG,Buy,278.3675000000000000,432.49,120391.16,USD
TXN_E58736D921D64B2B,PF_CDA42A9973,2021-12-11 20:59:46.205,SPY,Buy,339.6868000000000000,360.25,122372.17,USD
TXN_16B501F64D194A04,PF_CDA42A9973,2021-12-11 21:06:24.748,SLV,Buy,185.9084000000000000,229.23,42615.78,USD
TXN_E85E62A4E5474626,PF_CDA42A9973,2021-12-12 00:15:33.096,VOO,Buy,724.6857000000000000,165.13,119667.35,USD
TXN_CDD7AD2F60B84E27,PF_CDA42A9973,2021-12-12 01:43:47.556,GLD,Buy,97.0650000000000000,416.18,40396.51,USD
TXN_8651B8B5AE0D49DE,PF_CDA42A9973,2021-12-12 04:51:59.524,CAT,Buy,1015.0433000000000000,498.93,506435.55,USD
TXN_4BAED218B5E54FA8,PF_CDA42A9973,2021-12-12 06:20:04.908,XLF,Buy,355.7420000000000000,341.64,121535.70,USD
TXN_6A1AD7C5553349CE,PF_CDA42A9973,2021-12-12 07:46:38.324,XLE,Buy,376.0671000000000000,324.50,122033.77,USD
TXN_D6B8FE86B3704D4B,PF_CDA42A9973,2021-12-12 09:55:55.857,MS,Buy,1477.0505000000000000,334.84,494575.59,USD
TXN_D7DDF87DABF04FC1,PF_CDA42A9973,2021-12-12 10:56:26.178,COP,Buy,298.6730000000000000,407.96,121846.64,USD
TXN_10D9D31DD75B4E85,PF_CDA42A9973,2021-12-12 15:55:41.711,COST,Buy,1817.3879000000000000,231.72,421125.12,USD
TXN_6F4F057DE24748C5,PF_A1BB26075D,2021-12-23 10:58:13.303,ABBV,Buy,8.0369000000000000,125.45,1008.23,USD
TXN_C253AEAD715E4AB4,PF_A1BB26075D,2021-12-23 14:44:34.535,MRK,Buy,3.5052000000000000,301.32,1056.19,USD
TXN_65038F2DC79247C5,PF_A1BB26075D,2021-12-23 16:46:48.794,GS,Buy,8.5851000000000000,110.47,948.40,USD
